Lu[289]  -0.000132921 -0.00094801 -0.000714533
Lu[290]  0.00037286 0.000138656 -0.00202576
Lu[291]  0.000433449 -0.000168928 -0.00206403
Lu[292]  0.000382401 -0.000918919 -0.00118278
Lu[293]  6.32913e-005 -0.000632833 0.000103372
Lu[294]  -4.63361e-005 -0.000580974 -0.000777936
Lu[295]  0.000289772 0.000252958 -0.0011687
Lu[296]  3.45054e-006 0.000200799 -0.00114807
Lu[297]  -0.00019302 1.46506e-005 -0.000805381
Lu[298]  7.49754e-005 -9.66404e-005 -0.000230249
Lu[299]  0.000311948 -0.000163288 -0.000381927
Lu[300]  0.00139697 0.000163933 0.000454123
Lu[301]  0.000505893 -0.000127828 -0.000790806
Lu[302]  0.00125438 0.00014364 0.000781275
Lu[303]  0.000144333 0.000387778 -0.00171243
Lu[304]  -0.000164258 -0.0013067 0.0001211
Lu[305]  0.000186643 0.000216449 -0.00184309
Lu[306]  -0.00160429 -0.000616665 -2.3751e-006
Lu[307]  -0.000112779 0.000111412 -0.00103951
Lu[308]  -0.000178152 2.59404e-005 -0.000907302
Lu[309]  4.95582e-005 -0.000135729 -0.000308387
Lu[310]  0.000306726 -0.000306217 -0.00103891
Lu[311]  1.01334e-005 -0.000280935 -0.0010567
Lu[312]  -0.000106488 -0.000221426 -0.000477562
Lu[313]  -2.31204e-005 -0.000452266 -0.000270171
Lu[314]  0.00046632 -0.00064451 -0.000957988
Lu[315]  8.11234e-005 -0.001084 0.000512121
Lu[316]  -0.000834044 -0.00194381 -0.000343274
Lu[317]  8.81718e-005 0.000177681 -0.00116378
Lu[318]  -3.01502e-005 0.000121639 -0.00110613
Lu[319]  -0.000290385 -0.00182649 0.000169888
Lu[320]  0.000463558 -0.000210798 -0.000921542
Lu[321]  0.000268161 -0.000240686 -0.00106243
Lu[322]  -0.000225191 -0.000355908 -0.00100589
Lu[323]  -0.000502177 -0.00157425 0.000334892
Lu[324]  0.000436291 0.000503624 -0.00188911
Lu[325]  -0.000806926 -0.000343886 -0.000866159
Lu[326]  -1.53723e-005 -0.000460545 -0.000314506
Lu[327]  -0.000358502 -0.00194933 -0.000230497
Lu[328]  0.00151106 0.000301505 0.000705814
Lu[329]  -0.000150148 1.8755e-005 -0.000957554
Lu[330]  -0.00018221 -5.54722e-005 -0.000787992
Lu[331]  -0.00013859 -0.000100025 -0.000622583
Lu[332]  0.000160953 -0.000136556 -0.000277844
Lu[333]  0.000310428 -0.000256916 -0.000459512
Lu[334]  0.000160144 -0.000260911 -0.00107439
Lu[335]  0.000154837 -0.000342006 -0.00104443
Lu[336]  -5.40992e-005 -0.000408629 -0.00100987
Lu[337]  -0.000402235 -0.000438289 -0.000946008
Lu[338]  -0.00161659 -0.000798506 0.00035988
Lu[339]  0.00111747 8.52067e-005 0.000719696
Lu[340]  0.00142382 0.000188007 0.000222027
Lu[341]  0.000234256 -0.000429956 -0.000536903
Lu[342]  -9.56432e-005 2.47019e-005 -0.000996099
Lu[343]  0.000127781 -0.000204266 -0.000356587
Lu[344]  0.000383502 -0.000295394 -0.000994466
