Interior vertex normals: 
0.847139 -0.503491 -0.169859
0.957135 -0.266051 -0.114499
0.0107707 -0.594692 0.803881
-0.0790988 -0.730565 0.678247
-0.0774428 -0.627781 0.774528
0.0673864 0.596077 0.800095
0.0486513 0.738141 0.67289
0.0892152 0.609764 0.787546
0.984509 -0.123606 -0.124356
0.69138 -0.717135 0.0878115
0.806957 -0.436573 0.397774
-0.980046 0.163247 0.113402
-0.980901 0.170825 -0.0930215
-0.993149 -0.0554803 -0.102843
-0.0493583 -0.581352 -0.812154
-0.0895452 -0.592324 -0.800709
0.239645 -0.838818 -0.48883
0.97774 0.205702 0.0413646
0.978559 0.201074 -0.0446215
0.930209 0.365507 0.0334162
-0.979775 -0.131405 0.150909
-0.980046 0.163247 0.113402
-0.993149 -0.0554803 -0.102843
0.978559 0.201074 -0.0446215
0.97774 0.205702 0.0413646
0.996617 0.081981 -0.00586223
-0.823593 -0.550981 0.134594
-0.807986 -0.573525 0.135009
-0.838394 -0.544867 0.0146502
-0.329357 0.878606 0.345797
-0.116035 0.963175 0.242548
-0.257177 0.880768 0.397628
-0.224749 0.962605 -0.151258
-0.211874 0.966324 -0.14604
-0.21923 0.930001 -0.295018
-0.930876 -0.362183 0.0478894
-0.907 -0.419271 -0.0395387
-0.909529 -0.384463 -0.157942
0.072957 0.945144 -0.318403
0.165421 0.974691 -0.150379
0.274605 0.919277 -0.281996
-0.222818 0.241269 0.944532
-0.213083 0.365646 0.906034
-0.362695 0.32523 0.873314
0.0229104 -0.997654 0.0645139
0.0250248 -0.996423 0.0807112
0.0179481 -0.997911 0.0620605
0.32967 -0.417392 0.846819
0.15222 -0.234003 0.960246
0.0843646 -0.572183 0.815775
0.208071 -0.455325 0.865671
0.116892 -0.706954 0.697533
0.0107707 -0.594692 0.803881
0.116892 -0.706954 0.697533
-0.0790988 -0.730565 0.678247
0.0107707 -0.594692 0.803881
0.208071 -0.455325 0.865671
0.0107707 -0.594692 0.803881
0.166624 0.0393917 0.985233
0.992328 -0.0547416 -0.110849
0.952935 0.173542 -0.248592
0.939663 0.312717 -0.138715
0.760206 -0.250009 -0.599651
0.870377 -0.294711 -0.394448
0.784729 -0.448013 -0.428352
0.861971 -0.481793 -0.157737
0.474673 -0.647009 -0.596711
0.955221 -0.293741 0.0356329
0.685169 -0.416886 -0.597286
0.784729 -0.448013 -0.428352
0.603249 -0.593586 -0.532678
-0.0548736 0.99841 -0.0129173
-0.0825832 0.993583 0.0772805
0.0471952 0.994202 0.0966221
-0.312062 0.140753 0.939578
-0.424294 0.0218854 0.90526
-0.315562 0.171196 0.933334
-0.309768 0.202489 0.929001
-0.312062 0.140753 0.939578
-0.222818 0.241269 0.944532
0.209312 0.601189 0.771207
0.399452 0.595617 0.696906
0.0735993 0.587834 0.805627
0.119944 0.246203 0.961768
0.229171 0.426758 0.874847
0.234423 0.382458 0.89374
0.239641 -0.148181 0.959487
0.203985 -0.249782 0.946572
0.15222 -0.234003 0.960246
0.364318 0.511483 0.77824
0.670367 0.25145 0.698127
0.281572 0.599152 0.749489
0.953351 -0.0144094 -0.301521
0.974689 0.0312839 -0.221367
0.959704 0.00291052 -0.280999
0.889438 -0.0933045 -0.44743
0.953351 -0.0144094 -0.301521
0.959704 0.00291052 -0.280999
-0.243688 0.969773 -0.0124799
-0.31799 0.929662 0.18604
-0.256338 0.96278 0.0857085
-0.213627 0.976105 -0.039792
-0.211874 0.966324 -0.14604
-0.243688 0.969773 -0.0124799
-0.116035 0.963175 0.242548
0.185088 0.945235 0.268835
-0.0321965 0.921521 0.386991
-0.143036 0.97935 -0.142875
-0.0304762 0.964498 -0.262324
-0.104286 0.940821 -0.322461
0.332134 0.938922 -0.0900656
0.465347 0.884504 -0.0332325
0.450168 0.882667 -0.135083
-0.300042 -0.379 0.875405
-0.244919 -0.204866 0.947652
-0.469253 -0.32815 0.819829
-0.47052 -0.109782 0.875533
-0.244919 -0.204866 0.947652
-0.424294 0.0218854 0.90526
-0.424294 0.0218854 0.90526
-0.244919 -0.204866 0.947652
-0.315562 0.171196 0.933334
-0.236393 0.253017 0.938137
-0.312062 0.140753 0.939578
-0.315562 0.171196 0.933334
-0.236393 0.253017 0.938137
-0.222818 0.241269 0.944532
-0.312062 0.140753 0.939578
-0.236393 0.253017 0.938137
-0.213083 0.365646 0.906034
-0.222818 0.241269 0.944532
0.234423 0.382458 0.89374
0.259217 0.578285 0.773558
0.258588 0.553024 0.79202
0.229171 0.426758 0.874847
0.259217 0.578285 0.773558
0.234423 0.382458 0.89374
0.912606 -0.0342033 -0.407406
0.959704 0.00291052 -0.280999
0.933029 0.0718036 -0.352564
-0.0109067 -0.219621 0.975524
-0.0550527 -0.391294 0.918618
-0.0786197 -0.31744 0.945014
-0.105304 0.517166 0.849383
-0.132263 0.720769 0.680439
0.128254 0.639084 0.758368
0.32967 -0.417392 0.846819
0.239641 -0.148181 0.959487
0.15222 -0.234003 0.960246
0.171281 -0.0723669 0.982561
0.239664 -0.0913522 0.966548
0.178362 0.0404574 0.983133
0.496808 0.305843 0.812183
0.534717 0.268245 0.801325
0.336064 0.577959 0.743656
0.185088 0.945235 0.268835
0.119417 0.868563 0.480976
-0.0321965 0.921521 0.386991
-0.0109067 -0.219621 0.975524
-0.0665288 -0.324561 0.943522
-0.265747 -0.172695 0.948449
0.323878 -0.320444 0.890179
0.0923021 -0.455642 0.885365
0.203985 -0.249782 0.946572
0.749097 -0.218363 0.625437
0.763161 -0.262207 0.590621
0.698128 -0.0838687 0.711044
-0.840544 0.0562591 0.538815
-0.631414 -0.73702 0.241076
-0.781926 -0.497177 0.37604
0.87342 0.368124 0.318782
0.853072 0.514852 0.0848236
0.828509 0.4938 0.264071
-0.985339 0.0249648 -0.168773
-0.999446 -0.00372093 -0.0330629
-0.9765 -0.0453089 -0.210701
-0.502383 -0.176793 -0.846378
-0.446523 -0.181045 -0.876265
-0.538535 -0.34933 -0.766778
-0.300042 -0.379 0.875405
-0.0653849 -0.250937 0.965793
-0.244919 -0.204866 0.947652
-0.244919 -0.204866 0.947652
-0.205633 0.0668862 0.976341
